,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
N06351L,0.0,0.7313238976950949,0.6439090211978078,0.5603648360522673,0.6940872832599547,0.7951664688827265,0.7272208501049873,0.6970873129154098,0.7399107494526209,0.541144586020017,0.5703415308745461
N06411H,0.7313238976950895,0.0,0.4826034904783736,0.49890884046407447,0.5505956196810002,0.6231497311842142,0.6090680056590267,0.595464754087125,0.5804533765980633,0.4063904161575924,0.4869060469323898
N06421A,0.6439090211978087,0.48260349047836915,0.0,0.5536357792172177,0.8620272568077167,0.7128673335658506,0.7253353040659682,0.6683104807333402,0.8357970239669887,0.7026792059969247,0.4895140816474548
N06421D,0.5603648360522673,0.49890884046407713,0.5536357792172195,0.0,0.6578366270271632,0.6117921502150079,0.6743982335628891,0.5842654425049458,0.69842144785936,0.48324279797078384,0.5147778320004246
N06421E,0.6940872832599512,0.5505956196810038,0.8620272568077247,0.6578366270271649,0.0,0.827493580064476,0.9304833934282168,0.7348543247621224,1.0270427223280771,0.7443771576140175,0.6762500675274401
N06421F,0.7951664688827247,0.6231497311842142,0.7128673335658515,0.6117921502150132,0.8274935800644814,0.0,0.8107712035867367,0.9724646609448984,0.8177522263861672,0.6204936737559605,0.6141842561110051
N06421G,0.7272208501049855,0.6090680056590241,0.7253353040659745,0.6743982335628944,0.9304833934282204,0.8107712035867385,0.0,0.7673325390945394,0.9603349931631309,0.6149683225877962,0.7983676082543498
N06431Y,0.697087312915408,0.5954647540871312,0.6683104807333384,0.5842654425049538,0.7348543247621269,0.9724646609448984,0.7673325390945411,0.0,0.7247095777651262,0.5304333361641675,0.5704993847406312
N31111S,0.739910749452612,0.5804533765980651,0.8357970239669879,0.6984214478593618,1.0270427223280807,0.817752226386153,0.9603349931631184,0.7247095777651209,0.0,0.714535366709875,0.7194906204764422
N31111U,0.541144586020017,0.40639041615758975,0.7026792059969273,0.4832427979707785,0.7443771576140219,0.6204936737559659,0.6149683225878024,0.5304333361641711,0.7145353667098822,0.0,0.4254991086341371
N31111W,0.5703415308745505,0.4869060469323925,0.489514081647461,0.5147778320004281,0.6762500675274401,0.614184256111006,0.7983676082543498,0.5704993847406232,0.7194906204764422,0.42549910863413354,0.0
