fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,-8.374999999999998,-25.0
7.8,0.76,0.04,2.3,0.092,14.341875,54.0,0.997,3.26,0.65,9.8,-25.0
-14.177749999999998,0.7,-12.17375,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5.0
25.22665,0.66,0.0,-23.32515625,0.075,-15.353125,-12.650000000000002,0.9978,3.51,0.56,9.4,5.0
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,21.4499,0.8,10.5,5.0
8.9,0.62,0.19,33.645,0.17,51.0,-12.650000000000002,0.9986,-12.0165,0.93,9.2,5.0
-14.177749999999998,-12.250000000000002,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7.0
-14.177749999999998,0.56,0.28,-19.675,0.368,16.0,56.0,0.9968,-12.0165,1.28,9.3,5.0
7.9,0.32,0.51,1.8,0.341,17.0,56.0,-13.484624999999998,3.04,30.225,9.2,6.0
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,-8.374999999999998,6.0
-14.177749999999998,-12.250000000000002,0.11,2.3,-10.225,-15.353125,67.0,0.9968,3.17,0.53,9.4,5.0
20.72665,0.43,0.21,1.6,0.106,10.0,37.0,-12.372625,20.8249,0.91,9.5,5.0
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6.0
8.3,0.655,0.12,2.3,0.083,15.0,-12.650000000000002,0.9966,3.17,0.66,9.8,5.0
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6.0
7.8,21.83,0.14,2.4,0.086,-15.353125,21.83,0.9975,3.42,-17.375,10.8,6.0
8.1,0.38,20.984250000000003,2.1,0.066,13.0,-12.650000000000002,0.9968,3.23,0.73,9.7,7.0
8.8,0.61,-12.17375,2.8,0.088,17.0,46.0,0.9976,3.26,-11.562500000000002,9.3,4.0
7.5,0.49,20.65125,-23.32515625,-10.225,8.0,14.0,0.9968,3.21,0.9,-8.374999999999998,6.0
-11.47775,-12.250000000000002,-12.17375,2.2,0.069,9.0,23.0,0.9968,-12.0165,1.2,-8.374999999999998,5.0
6.8,0.67,-12.17375,1.8,0.05,5.0,11.0,0.9962,3.48,20.5375,9.5,5.0
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5.0
-14.177749999999998,0.52,0.04,-23.32515625,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6.0
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6.0
10.2,-12.250000000000002,0.57,3.4,0.07,4.0,21.83,-13.484624999999998,3.04,0.63,9.6,5.0
